entropy_p,entropy_i,NCE_t,issuer,users,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
2.70E-08,-9.16E-05,-0.0015212,4,76,-128,-7,-43,-4,-11,-37,0,0,0,-2,3
1.86E-06,0.000121129,0.002362613,-7,-55,-178,-9,-37,-7,11,2,0,0,0,0,-25
1.89E-06,0.000580756,0.002694253,-5,-95,63,-8,-2,-6,17,-12,0,0,0,1,329
5.19E-06,0.000795344,0.009532691,-18,-121,-389,-13,-68,-26,-2,-90,0,0,0,0,-335
2.15E-06,0.000613698,0.006332753,-5,-39,-164,-19,-16,-13,-2,2,0,0,0,0,15
2.86E-06,0.000719459,0.004935603,-2,-109,-292,-18,-45,-9,-6,-48,0,0,0,-1,-23
3.69E-06,0.000706934,0.002586044,-16,-130,-451,-23,-80,-32,-1,-113,0,0,0,0,24
3.49E-06,0.000704887,0.0041234,-16,-135,-441,-19,-78,-27,2,-57,0,0,0,0,-22
2.14E-06,-0.000180524,-0.000593684,-21,-89,-191,5,-22,-3,8,-21,0,0,0,0,-6
2.16E-06,7.48E-05,-0.001423946,-2,-67,-105,0,-39,-7,-1,-12,0,0,0,0,4
2.23E-06,-0.000181296,-0.004771707,-9,-136,-175,-16,-43,-13,16,-9,0,0,0,0,1
-9.78E-07,5.95E-05,-0.001652881,-2,42,0,11,-2,6,3,33,0,0,0,0,-11
3.61E-06,-8.52E-05,0.004570274,-6,-105,-401,-15,-48,-26,-6,-64,0,0,0,0,3
2.25E-06,0.000642535,-0.005002082,-10,-80,-184,8,-26,-15,-3,19,0,0,0.58846764,0,16
4.31E-06,0.000182373,-0.00151105,-9,-136,-183,-4,-24,-18,-6,-10,0,0.668713227,2.552,1,-18
4.46E-06,-0.000254978,-0.004287359,-11,-146,-143,-3,-28,-15,-11,-27,0,2.9,1.81192,-1,8
3.60E-06,-0.000218301,0.001043838,-24,-181,-361,-1,-33,-14,-17,-20,0,2.059,1.2864632,0,-9
-3.15E-06,-6.10E-05,-0.000866244,7,71,111,18,22,9,5,33,0,4.372286773,0.913388872,0,2
1.13E-06,0.000356341,-0.001541151,-2,-38,-28,6,-7,-5,-4,-16,0,0,0.648506099,0,2
-5.68E-07,-0.000315889,-0.001624622,-4,-3,-35,7,8,-2,2,34,0,0,0.46043933,0,-3
-3.64E-06,-0.000274754,-0.002890227,12,103,189,25,9,12,2,43,0,0,0.326911925,0,-2
-5.07E-06,-0.000534245,-0.002929666,21,157,246,30,33,14,17,60,0,0,0.232107466,0,1
4.79E-07,4.04E-06,-0.003049739,11,-24,-107,4,-20,-12,11,-14,0,0.66871323,0.164796301,0,3
5.76E-07,0.000121435,-0.002861928,3,-19,-52,4,23,-3,31,2,0,-2.900000003,0.117005374,0,-5
1.90E-06,0.000628375,0.003323383,-12,-46,-9,21,-7,6,7,-11,0,-2.059,0.083073816,0,13
4.22E-06,0.000455231,0.004914156,-13,-108,-207,-9,-14,-15,-5,-41,0,-5.709713227,0.058982409,0,6
2.82E-06,0.000477462,-0.003928555,-8,-56,-30,4,0,3,-3,-7,0,0,0.144405208,0,-19
