entropy_p,entropy_i,NCE_t,issuer,users,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
-2.00E-07,-0.000215448,-0.002538672,-5,3,-434,95,71,-8,120,76,0,0,0,0,-18
4.00E-07,-0.000498126,0.002126168,23,17,209,103,106,-4,50,413,0,0,0,0,10
-1.00E-07,-2.45E-05,0.000684724,-1,16,-29,107,556,-1,99,317,0,0,0,0,-13
-4.00E-07,0.000128012,6.04E-05,5,0,41,22,118,0,24,202,0,0,0,0,6
-2.00E-07,7.29E-05,-0.001027226,2,14,91,83,201,-1,203,178,0,0,0,0,26
0,0.000226625,-0.000238368,4,47,80,180,17,-11,65,221,0,0,0,0,-30
-5.00E-07,0.000480465,-0.001935968,17,54,-261,64,106,3,-42,-125,0,0,0,0,2
-4.00E-07,0.000489105,-0.000386066,28,49,-234,262,-1,2,-136,142,0,0,0,0,12
-5.00E-07,0.000140451,-0.000123276,21,119,150,230,39,-4,38,674,0,0,0,0,-1
-1.10E-06,-0.000857265,0.000536557,69,443,-52,271,179,-1,66,620,0,0,0,0,-12
-3.00E-07,0.000380326,0.001837008,14,90,211,72,81,0,66,409,0,0,0,0,16
-6.00E-07,0.000157381,-0.000159433,10,78,75,140,-13,2,118,352,0,0,0,0,-18
-1.80E-06,-0.000450165,-0.0027045,70,304,170,252,144,-2,119,543,0,0,0,0,-1
-1.80E-06,-0.000293082,0.000310071,56,254,420,153,307,-2,186,905,0,0,0,0,9
-1.50E-06,0.000294256,0.001173627,62,294,704,413,569,-1,306,1568,0,0,0,0,-1
-1.70E-06,0.000608311,-0.000771491,51,133,476,512,520,4,319,925,0,0,0,0,-4
0,0.000109058,0.000827022,1,-47,613,351,93,5,223,1167,0,0,0,0,-8
-2.00E-07,0.000114687,-0.000297935,10,34,671,276,281,2,164,577,0,0,0,0,0
0,0.000121873,-0.001726521,9,2,212,-6,158,-1,-98,220,0,0,0,0,0
-6.00E-07,0.000363619,6.89E-06,28,53,1238,340,809,3,346,1511,0,0,0,0,-10
-1.00E-07,0.000696044,-0.000489295,18,27,1234,373,662,18,323,1601,0,0,0,0,9
-7.00E-07,0.000298945,-0.001398674,46,96,928,214,699,-3,352,1772,0,0,0,0,8
-3.00E-07,4.59E-06,-0.000257502,41,38,985,264,387,0,242,1013,0,0,0,0,13
-1.00E-07,-0.000486049,-0.00077309,10,-17,819,112,141,5,193,1050,0,0,0,0,16
-3.00E-07,0.000146189,0.001014195,4,28,395,74,261,1,97,153,0,0,0,0,25
-3.00E-07,-0.000210296,0.000401456,-2,-30,580,137,351,-2,86,155,0,0,0,0,11
6.00E-07,-0.000478677,-5.33E-05,3,-90,566,250,604,0,264,751,0,0,0,0,-11
9.00E-07,0.000199941,-0.000526152,8,-118,457,223,50,16,119,634,0,0,0,0,26
9.00E-07,-0.000181111,-0.002521081,-9,-76,246,-191,3,0,-55,-123,0,0,0,0,-23
1.40E-06,-0.000143117,-0.001885113,-31,-92,448,-47,226,-5,20,670,0,0,0,0,24
2.00E-07,-0.000594446,-0.003956926,11,-40,223,-67,354,10,37,314,0,0,0,0,-8
1.00E-07,0.0001061,0.000310473,2,-22,-222,-142,-113,-1,-83,-154,0,0,0,0,32
-1.00E-07,-9.40E-05,-0.00122558,-5,-27,275,92,44,-1,24,156,0,0,0,0,-24
1.20E-06,0.000313386,-0.000392372,-2,-199,10,-99,-333,-7,-79,108,0,0,0,1,-21
5.00E-07,0.000309918,-0.000708466,6,-72,-418,159,-364,-21,8,-266,0,0,0,-1,38
8.00E-07,-0.000222122,-0.000834413,-23,-138,34,-157,-253,11,10,-246,0,0,0,1,-21
3.00E-07,0.00045013,-0.001475692,-7,-49,-47,-111,-4,7,-98,1,0,0,0,-1,25
1.00E-07,-0.000307657,-0.001493321,-9,0,62,-60,-79,6,-50,-144,0,0,0,0,-11
6.00E-07,3.36E-05,8.94E-05,-1,-41,-264,-28,91,-2,-83,66,0,0,0,1,11
4.00E-07,7.73E-05,0.000156311,-4,-15,-421,-249,-156,0,-151,-72,0,0,0,0,-43
8.00E-07,6.46E-05,-0.001083103,-4,-131,125,118,-478,0,-186,492,0,0,0,-1,27
5.00E-07,-7.00E-05,-0.00045375,-2,-59,-43,-152,-61,-15,-123,135,0,0,0,0,1
6.00E-07,-0.000409882,-0.000469847,-28,-91,-89,3,-174,5,-92,332,0,0,0,0,13
3.00E-07,-0.000237756,2.06E-05,-19,-133,-447,-85,-242,-1,-144,199,0,0,0,1,-31
1.30E-06,-0.000323579,-0.002145836,-22,-221,-213,-164,-512,-16,-57,-432,0,0,0,-1,1
3.00E-07,-0.000217343,-4.84E-06,-1,26,-16,-83,-72,0,-90,-120,0,0,0,0,13
-2.00E-07,-0.000528762,-0.000326924,-13,35,-319,88,109,1,-55,405,0,0,0,0,-11
-1.00E-07,0.00025817,0.00015771,-6,-69,-482,456,446,2,-158,203,0,0,0,0,9
-7.00E-07,-0.000539506,-0.000474918,-1,-94,-162,74,123,8,-62,-257,0,0,0,0,-16
2.00E-07,-0.000390048,0.001365461,-29,-57,-338,238,-166,0,-223,-768,0,0,0,2,20
4.00E-07,-8.41E-05,-8.64E-05,0,-22,-685,-78,-559,-4,-167,-1094,0,0,0,-2,-27
3.70E-06,0.000558203,0.002780846,-56,-336,-1585,-611,-1044,-17,-486,-2288,0,0,0,0,47
2.00E-07,2.99E-05,0.001019989,-14,-5,-331,-134,-559,0,-72,-382,0,0,0,0,-36
1.00E-07,-8.71E-05,-0.000942482,-14,-16,-107,-31,-395,-1,-60,-374,0,0,0,1,0
-1.00E-07,0.000138944,-0.000283367,10,7,-538,-361,-429,1,-151,-1442,0,0,0,-1,-18
6.00E-07,-0.000241203,0.005174932,6,-11,-998,-224,-531,-1,-217,-1858,0,0,0,0,-6
8.00E-07,0.000135626,0.003348997,-21,-149,-991,-251,-583,-3,-206,-1933,0,0,0,0,9
1.30E-06,-0.000165412,0.003280449,-11,-130,-674,-314,-685,6,-248,-2265,0,0,0,0,-4
7.00E-07,-0.000312468,0.004175333,-27,-97,-616,-55,-351,7,-273,-1273,0,0,0,0,3
3.00E-07,-0.000179505,-0.000139287,-5,-8,-397,-55,-244,-2,-2,-480,0,0,0,0,9
2.00E-07,-0.000173975,0.000901642,-5,-12,-265,-209,-509,2,-55,-929,0,0,0,0,3
7.00E-07,-8.26E-05,-0.000445334,-8,-61,-796,-704,-960,3,-122,-1932,0,0,0,0,-17
2.40E-06,-0.000107057,0.001240241,-37,-142,-664,-453,-691,-11,-301,-1445,0,0,0,2,2
2.20E-06,-0.000170536,0.000111472,-19,-199,-519,-354,-429,-12,-186,-1233,0,0,0,-1,8
3.00E-07,-0.000203723,0.000336201,-53,-118,-444,-205,-2,-2,-96,-966,0,0,0,0,-22
-2.60E-06,-0.000489234,-0.000104001,33,170,670,440,775,7,148,639,0,0,0,-1,-2
-6.00E-07,0.000108226,0.000821334,12,64,54,61,124,0,1,-256,0,0,0,0,13
-7.00E-07,9.98E-05,-0.000497666,14,75,-25,44,53,0,20,-97,0,0,0,0,11
-3.00E-07,-2.74E-05,0.000764477,19,-13,-158,-184,-97,-2,-96,-490,0,0,0,1,-23
