entropy_p,entropy_i,NCE_t,issuer,users,tasks,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
0.000108794,0.052212023,0.284414234,665,7301,41571,9281,607,1266,539,147,1388,0,0,0,0,2,49
0.000108821,0.052120472,0.282893034,669,7377,41168,9153,600,1223,535,136,1351,0,0,0,0,0,52
0.000110677,0.052241601,0.285255647,662,7322,40520,8975,591,1186,528,147,1353,0,0,0,0,0,27
0.000112569,0.052822357,0.2879499,657,7227,39891,9038,583,1184,522,164,1341,0,0,0,0,1,356
0.000117755,0.053617701,0.297482591,639,7106,37872,8649,570,1116,496,162,1251,0,0,0,0,1,21
0.0001199,0.054231399,0.303815344,634,7067,37228,8485,551,1100,483,160,1253,0,0,0,0,1,36
0.00012276,0.054950858,0.308750947,632,6958,35982,8193,533,1055,474,154,1205,0,0,0,0,0,13
0.000126454,0.055657792,0.311336991,616,6828,33621,7742,510,975,442,153,1092,0,0,0,0,0,37
0.000129948,0.056362679,0.315460391,600,6693,31530,7301,491,897,415,155,1035,0,0,0,0,0,15
0.000132088,0.056182155,0.314866707,579,6604,30864,7110,496,875,412,163,1014,0,0,0,0,0,9
0.000134245,0.056256925,0.313442761,577,6537,30385,7005,496,836,405,162,1002,0,0,0,0,0,13
0.000136471,0.056075629,0.308671054,568,6401,29548,6830,480,793,392,178,993,0,0,0,0,0,14
0.000135493,0.056135166,0.307018173,566,6443,29923,6830,491,791,398,181,1026,0,0,0,0,0,3
0.0001391,0.05604999,0.311588447,560,6338,28126,6429,476,743,372,175,962,10,0,0,0,0,6
0.000141349,0.056692525,0.306586365,550,6258,27468,6245,484,717,357,172,981,0,0,0,0.58846764,0,22
0.000145659,0.056874898,0.305075315,541,6122,26633,6062,480,693,339,166,971,0,0,0.668713227,3.14046764,1,4
0.000150117,0.05661992,0.300787956,530,5976,25793,5919,477,665,324,155,944,0,0,3.568713227,4.95238764,0,12
0.000153714,0.056401619,0.301831794,506,5795,25025,5558,476,632,310,138,924,10,0,5.627713227,6.23885084,0,3
0.00015056,0.056340586,0.30096555,513,5866,26014,5669,494,654,319,143,957,0,0,10,7.152239712,0,5
0.000151686,0.056696927,0.299424399,511,5828,25856,5641,500,647,314,139,941,0,0,10,7.800745811,0,7
0.000151118,0.056381038,0.297799777,507,5825,25977,5606,507,655,312,141,975,0,0,10,8.261185141,0,4
0.000147475,0.056106284,0.29490955,519,5928,27108,5795,532,664,324,143,1018,0,0,10,8.588097066,0,2
0.000142402,0.055572039,0.291979884,540,6085,28415,6041,562,697,338,160,1078,0,0,10,8.820204532,0,3
