,Sliding window,shenzhen,futian,baoan,pingshan,guangming,longhua,luohu,nanshan,yantian,longgang
0,2020-02-18,6.927031815886651e-05,0.0005841444438188068,0.0004923040309469782,0.0008033469833253895,0.0005293939829438604,0.0015416106497643052,0.0007964693729851711,0.0007201971648192959,0.00243677119919372,0.0002673665209896346
1,2020-02-19,6.781758295764084e-05,0.0005925633607636022,0.00046688383772841764,0.00077765339594118,0.0005011159311175407,0.0015371521825476631,0.000791518612096054,0.0007087964283689798,0.002475544477367395,0.0002674417638262629
2,2020-02-20,6.595797319644557e-05,0.0005604106651222858,0.00045004731136642805,0.0007511829740641497,0.0004896016059657113,0.0014908048753100342,0.000778334118918065,0.0006870822576323461,0.0024677228712891523,0.0002645679276357367
3,2020-02-21,6.43596309186699e-05,0.0005410806840996867,0.00042990899412888924,0.0007333192734653342,0.0004800918794442117,0.0014411309710762753,0.0007660216876858228,0.0006695392731826215,0.0024541297228802984,0.00026165108467028094
4,2020-02-22,6.336107442752494e-05,0.0005360267751638115,0.00040957838889557944,0.0007032034934316845,0.00047599246027192274,0.0014060887786684225,0.0007713699524134698,0.0006623386783308571,0.002465504072299866,0.00026285992099466036
5,2020-02-23,6.320223005353468e-05,0.0005367007850582958,0.0004012405005727933,0.0006927600929288878,0.00047113249970225557,0.0013930149530943716,0.0007793156722981205,0.0006698306747457942,0.0024684671986969393,0.0002645475954188061
6,2020-02-24,6.36699716374031e-05,0.0005385775875693375,0.00039190608829027914,0.0006918074092475163,0.0004875041384255381,0.0013937378120210616,0.0007733033012163113,0.0007001138868513009,0.0024584446048779374,0.0002682488525887991
7,2020-02-25,6.363990927036384e-05,0.0005390547875305943,0.00038469484698382085,0.0007013497505188491,0.00048186417154755056,0.0014085613714627705,0.0007879897953627032,0.0006962195557836112,0.0025652169860120783,0.0002697005780029298
8,2020-02-26,6.191509062714603e-05,0.0004766038875420525,0.0003843581914159041,0.0007077977331082725,0.00047196670479357256,0.0013975269334308101,0.0007908149372031384,0.000698597432762875,0.0025084372285012323,0.0002661805287394327
9,2020-02-27,6.13560510752475e-05,0.00042772272389963436,0.000389412327702942,0.0007183591201136066,0.0004648199436224732,0.0014184426761197644,0.0008440148356424823,0.0006900523510876586,0.0024873278755960663,0.00026838855247501424
10,2020-02-28,6.102718933935066e-05,0.00041368516093170314,0.00039442544751376384,0.0007277629109781997,0.000469847238043476,0.0014897479452768655,0.0008018829913865427,0.0007007123889403283,0.0024518213157166623,0.0002694503236505997
11,2020-02-29,6.251715105088123e-05,0.00040684853936628706,0.0004168133100172493,0.0007563510143731225,0.00048277462018789534,0.0016606822400803234,0.000854432323915502,0.0007331237109294323,0.002479467466433847,0.00027167327948128534
12,2020-03-01,6.465719093400277e-05,0.0004046863331609035,0.00042586792860702105,0.0007860865200292343,0.0004987498265666206,0.0017287389820153083,0.0008796031712293441,0.0007670297337600396,0.002736548175699913,0.00028818076361292606
13,2020-03-02,6.551454363663256e-05,0.0003897900765182894,0.00043052186977622696,0.0007930459133191651,0.0005054530369139755,0.001828504693853051,0.0009113016281426014,0.0008018086442158845,0.0027633162782831487,0.00029691679381073507
14,2020-03-03,6.630962288023181e-05,0.00037999564890180696,0.00043690858458635985,0.0008222901148808341,0.0005158103395505194,0.001986008399893287,0.0009361088153948593,0.0008049804550431224,0.0027929765185013286,0.00030126578493819305
15,2020-03-04,6.731896873608024e-05,0.00036514282771367385,0.0004483711678531968,0.0008347264930145738,0.0005363647821355649,0.0020115534200234536,0.0009801736470116255,0.0008355729145229227,0.002899137113811809,0.000304837950982134
16,2020-03-05,6.909550269354252e-05,0.00036427291934146646,0.0004614268708386699,0.0008653866773360884,0.0005522730202645884,0.002163077860888822,0.001027664214809765,0.0008715870434313313,0.0030627349969259586,0.00031159622412202923
17,2020-03-06,6.965019278165866e-05,0.00034807450028574987,0.000467306009911734,0.0008843031911003854,0.000563117816178566,0.002215152329383906,0.0010522990881834235,0.0008993383543727656,0.0030405987411349362,0.00032064938352512084
18,2020-03-07,6.963957183692323e-05,0.00031494193040018735,0.00048646160175503126,0.0009331431902287013,0.0005719763971234358,0.0024182988459304873,0.0010661470362951513,0.0008956501554034986,0.0031408982424185176,0.00032653417823905645
19,2020-03-08,6.994035328467732e-05,0.00030017351561310157,0.0004988074344164558,0.0009614736461959106,0.0005779754457111816,0.002526553548165551,0.0010851677947461814,0.000916936819774187,0.003189691003582587,0.00033277421910943126
20,2020-03-09,6.979229511087181e-05,0.0002857976398494731,0.0005094288985709312,0.0009742615898759223,0.0005805585431559653,0.0026847592794886797,0.001103894227876537,0.0009296183756346829,0.0031783717668005837,0.00033550045853803997
21,2020-03-10,6.941083693214493e-05,0.0002622092021110362,0.0005190335455758471,0.0009986826656705596,0.0006048864703641076,0.002691834852220282,0.001126168508877715,0.0009538656161653053,0.003174518110848166,0.0003430086925072458
22,2020-03-11,7.08628990839097e-05,0.00025490655607947994,0.0005211522428841976,0.001032235930149051,0.0006330032396743454,0.0028094569641864938,0.0011950923907906896,0.0009707058435265802,0.0033280045920504567,0.0003581833186281086
23,2020-03-12,7.17666319817123e-05,0.0002514337702745468,0.0005311117340491948,0.0010697876588946172,0.0006599231173930265,0.002818244355481092,0.00124808356922355,0.0009976073747472352,0.003218643747281968,0.0003676129004003901
24,2020-03-13,7.33160113534621e-05,0.00024665400237856074,0.0005505669121104441,0.0010980937844211644,0.0006941059377096846,0.002826831944704212,0.001289721531717954,0.001088567907467908,0.0031585875083114624,0.00038113918454862455
